# video = bench_spoto_95x6_2_20260813.mov
# tracker = vtrack
# commit = 5667852
# generated = 2026-08-17T15:34Z
# n_frames = 1038
# lift = bench
# camera_side = right
# fps = 30
# m_per_px = 0.00205085364306
# travel_m = 0.639242174993
# plate_radius_px = 98.7393716197
# sticker_radius_m = 0.2025
t,x,height,score,n_markers,residual_px,m_per_px_t,circumradius_px
12.6333333333,-0.000877998348297,0.00373567721653,7,7,1.8194024654,0.00205085364306,98.7393716197
12.6666666667,0.000963620376165,0.00293891927362,7,7,1.39269281861,0.00205085364306,98.7393716197
12.7,0.118385253073,0.335146221916,6,6,1.10261060018,0.00205085364306,98.7393716197
12.7333333333,0.00293193935475,0.00215372965788,7,7,1.71121318504,0.00205085364306,98.7393716197
12.7666666667,0.00293439596723,0.00216417510569,7,7,1.7111595508,0.00205085364306,98.7393716197
12.8,0.00293749475079,0.00214404407595,7,7,1.70955015926,0.00205085364306,98.7393716197
12.8333333333,0.118380629292,0.335039707699,6,6,1.14426052054,0.00205085364306,98.7393716197
12.8666666667,0.121410070562,0.336169260867,7,7,2.04355733312,0.00205085364306,98.7393716197
12.9,0.122063910371,0.336344432158,7,7,2.25536349108,0.00205085364306,98.7393716197
12.9333333333,0.122158379786,0.336175307749,7,7,2.27165988303,0.00205085364306,98.7393716197
12.9666666667,0.00294652161373,0.0021778161412,7,7,1.71242788984,0.00205085364306,98.7393716197
13,0.00295793798267,0.00217915006883,7,7,1.70316051876,0.00205085364306,98.7393716197
13.0333333333,0.00295557048655,0.00218504626458,7,7,1.70283257138,0.00205085364306,98.7393716197
13.0666666667,0.00296013742186,0.00219512097145,7,7,1.70729119159,0.00205085364306,98.7393716197
13.1,0.00295792714271,0.00219057345719,7,7,1.7110706187,0.00205085364306,98.7393716197
13.1333333333,0.123419834492,0.3363057718,7,7,1.94344497489,0.00205085364306,98.7393716197
13.1666666667,0.124013643646,0.336093171864,7,7,1.84187375992,0.00205085364306,98.7393716197
13.2,0.00252763071175,0.00201413076299,7,7,1.86086249609,0.00205085364306,98.7393716197
13.2333333333,0.00250996233003,0.00201388573564,7,7,1.86420849979,0.00205085364306,98.7393716197
13.2666666667,0.120870911632,0.334846290264,6,6,1.41690380233,0.00205085364306,98.7393716197
13.3,0.0024770804556,0.00199239435169,7,7,1.87975606426,0.00205085364306,98.7393716197
13.3333333333,-0.000430706242255,0.00318497900623,7,7,1.66790163439,0.00205085364306,98.7393716197
13.3666666667,0.00245823164406,0.00199326027921,7,7,1.88371978978,0.00205085364306,98.7393716197
13.4,0.00050476272318,0.00277823441558,7,7,1.56650788108,0.00205085364306,98.7393716197
13.4333333333,0.00246768374557,0.00198760747318,7,7,1.87970124471,0.00205085364306,98.7393716197
13.4666666667,0.000504536091831,0.00277641332428,7,7,1.56507428137,0.00205085364306,98.7393716197
13.5,0.121307945098,0.3328737969,6,6,1.2017096522,0.00205085364306,98.7393716197
13.5333333333,0.122182433112,0.333824568358,6,6,1.64314957696,0.00205085364306,98.7393716197
13.5666666667,0.00100655247426,0.00255954031273,7,7,1.59557355971,0.00205085364306,98.7393716197
13.6,0.00101396150059,0.00254990928536,7,7,1.59221331447,0.00205085364306,98.7393716197
13.6333333333,0.00101371827161,0.00254941812365,7,7,1.59216940404,0.00205085364306,98.7393716197
13.6666666667,0.119849656178,0.332818327532,6,6,1.35890766754,0.00205085364306,98.7393716197
13.7,0.119824992174,0.332720959862,6,6,1.41827055058,0.00205085364306,98.7393716197
13.7333333333,0.00147910251842,0.00272034282621,7,7,1.41051870531,0.00205085364306,98.7393716197
13.7666666667,0.00273712409541,0.00311714552747,6,6,1.23559512305,0.00205085364306,98.7393716197
13.8,0.00287784326461,0.00349003642204,7,7,1.2310023869,0.00205085364306,98.7393716197
13.8333333333,0.00221718176642,0.00330499088903,6,6,1.24515257218,0.00205085364306,98.7393716197
13.8666666667,-0.0285597456143,0.374884509743,6,6,1.2016157098,0.00205085364306,98.7393716197
13.9,0.00220126690593,0.00332332611045,6,6,1.24428591968,0.00205085364306,98.7393716197
13.9333333333,0.122881058272,0.331974861215,5,5,1.09353619299,0.00205085364306,98.7393716197
13.9666666667,0.123036005099,0.331920650214,5,5,1.10144716664,0.00205085364306,98.7393716197
14,0.123006043341,0.33199681566,5,5,1.09153965552,0.00205085364306,98.7393716197
14.0333333333,0.12316457031,0.332000976193,6,6,1.00663266141,0.00205085364306,98.7393716197
14.0666666667,0.119716890095,0.33253763721,6,6,1.55535354052,0.00205085364306,98.7393716197
14.1,0.00219144999991,0.00335101539729,6,6,1.23370173481,0.00205085364306,98.7393716197
14.1333333333,0.000964196156948,0.00300331182799,7,7,1.39297705101,0.00205085364306,98.7393716197
14.1666666667,-0.00112051711047,0.00234770933941,7,7,2.36520728306,0.00205085364306,98.7393716197
14.2,-0.00108591295213,0.00231629770851,7,7,2.36059867778,0.00205085364306,98.7393716197
14.2333333333,0.000974045381112,0.00293888420077,7,7,1.39795720617,0.00205085364306,98.7393716197
14.2666666667,0.000978743904509,0.00293128358852,7,7,1.40049071474,0.00205085364306,98.7393716197
14.3,-0.00111367911742,0.00231739500084,6,6,2.55786386239,0.00205085364306,98.7393716197
14.3333333333,-0.00111818647661,0.00230531978773,7,7,2.3711698288,0.00205085364306,98.7393716197
14.3666666667,0.195373128683,0.432980390166,5,5,1.58917267284,0.00205085364306,98.7393716197
14.4,-0.00550003477364,0.0064456478557,6,6,2.12332361595,0.00205085364306,98.7393716197
14.4333333333,0.200230263273,0.433194552233,6,6,1.80048450119,0.00205085364306,98.7393716197
14.4666666667,0.134580031413,0.334842914592,6,6,1.34051812651,0.00205085364306,98.7393716197
14.5,0.134594516858,0.334771690912,6,6,1.36256341434,0.00205085364306,98.7393716197
14.5333333333,0.201732606996,0.432954192019,6,6,2.69149767554,0.00205085364306,98.7393716197
14.5666666667,0.201003473502,0.433408568067,6,6,3.11668672637,0.00205085364306,98.7393716197
